_id,service_name,sequence,name_mm,road_mm,the_geom
578,8,18,နယ်မြေရုံး,မြင်တော်သာလမ်း,0101000020E61000004D158C4AEA0C58409758198D7CCA3040
579,8,19,စာတိုက်,မြင်တော်သာလမ်း,0101000020E61000003161342BDB0C58402B2FF99FFCC93040
580,8,20,ဆီဆိုင်,မြင်တော်သာလမ်း,0101000020E6100000F5F411F8C30C58409C36E33444C93040
581,8,21,ခင်မမကြား,မြင်တော်သာလမ်း,0101000020E6100000C2189128B40C5840A2B437F8C2C83040
582,8,22,(၃) ဈေး,မြင်တော်သာလမ်း,0101000020E61000009240834D9D0C584095B7239C16C83040
583,8,23,အရှေ့ကြား,မြင်တော်သာလမ်း,0101000020E61000007E022846960C584085EFFD0DDAC73040
584,8,24,(၃) ဂိတ်ဟောင်း,မြင်တော်သာလမ်း,0101000020E61000001633C2DB830C584054E23AC615C73040
585,8,25,မာန်ပြေ,ယမုံနာလမ်း,0101000020E6100000F8DF4A766C0C58407C8159A148C73040
586,8,26,ရန်ပြေ,ယမုံနာလမ်း,0101000020E6100000BBB72231410C5840857B65DEAAC73040
587,8,27,သင်္ဘောကျင်း,ယမုံနာလမ်း,0101000020E61000005AB91798150C584072C45A7C0AC83040
588,8,28,ဝါဆို,ယမုံနာလမ်း,0101000020E61000004F5AB8ACC20B5840ED48F59D5FC83040
589,8,29,မင်္ဂလာဈေး,စက်ရုံလမ်း,0101000020E6100000EF3CF19C2D0B58407A3881E9B4CA3040
590,8,30,မင်္ဂလာမွန်ဈေး,စက်ရုံလမ်း,0101000020E6100000BC5D2F4D110B58408DB800344ACB3040
591,8,31,ဆေးရုံ,နတ်မောက်လမ်း,0101000020E6100000BFF04A92E70A58408F56B5A4A3CC3040
592,8,32,ဖိုးစိန်လမ်း,နတ်မောက်လမ်း,0101000020E6100000DBDFD91EBD0A5840D576137CD3CC3040
593,8,33,နတ်မောက်ကျောင်းရှေ့,နတ်မောက်လမ်း,0101000020E6100000FDD98F14910A5840A1866F61DDCC3040
594,8,34,ဂျမား,နတ်မောက်လမ်း,0101000020E610000065AA6054520A58403B6F63B323CD3040
595,8,35,ရေခဲဆိုင်,နတ်မောက်လမ်း,0101000020E6100000BB9A3C65350A58408E78B29B19CD3040
596,8,36,ဗဟန်းသုံးလမ်း,ဗဟန်းလမ်း,0101000020E6100000889E94490D0A58408F8B6A1151CC3040
